reflection_category,task_id,task_name,avg8_measured_pass,opus_avg8,gpt_avg8,model_pass_rate
Debugging & Repair,task_dc279ecf333c4fcdb6e3b041a283092e,aerospace-ledger-pipeline,no,,,0.0
Systems/Infra/Ops,task_5d51762ae1884a3ebe2b3bea76d4a6f4,agv-shadow-sync-generator,no,,,0.0
File & Media Ops,task_7782c571b0ee4007845f11b2295c41ce,assembly-cache-redactor,no,,,0.0
Machine Learning/AI,task_d10692b65b244a26a7720512c4c151c5,atomic-lineage-orchestrator,yes,0.0000,0.7143,0.0
File & Media Ops,task_2b0783da9233422baa4d56200157cbde,audit-crosswalk-idempotence,no,,,0.0
Machine Learning/AI,task_c732aeca4193451587595e014b034f95,batch-cache-policy-gate,no,,,0.0
Systems/Infra/Ops,task_83d69b69ed38496a9e99ff62810ffea3,booth-attestation-sync,yes,0.0000,0.0000,0.0
File & Media Ops,task_f68b5d0c2cb64cb5aaa0a1289328a002,booth-ingest-atomic-write,no,,,0.0
Debugging & Repair,task_ca6553273c4d406ca17bc17ae80675d1,booth-invalidation-pipeline,no,,,0.0
Systems/Infra/Ops,task_390b3901b7074d099fcffb3ded2f0519,broadcast-compliance-pipeline-2,yes,0.2500,0.0000,0.0
Machine Learning/AI,task_3917e3194a914f339547ccf1c466d5ac,broadcast-ingest-partitioner,yes,0.4286,0.4000,0.0
Systems/Infra/Ops,task_c510e3e9ca7a4bbaac7413ddd44f0e06,broadcast-journal-translator,no,,,0.0
Systems/Infra/Ops,task_d13725df713e460b860e307983e27ac8,broadcast-manifest-parser,no,,,0.0
Machine Learning/AI,task_34636b354a8b4f17ad9b13ca585e70a2,build-broadcast-compliance-router-pipeline,no,,,0.0
Debugging & Repair,task_3c72c235f39a491e875b6b317a8e59a3,calibration-ledger-triage,no,,,0.0
Machine Learning/AI,task_0e8f4f17021c4c028d6363465fc6df72,canary-shift-transfer-packager,no,,,0.0
File & Media Ops,task_9692b9e5c9ad4f7982609e940bab1fbb,canonical-twin-compiler,yes,0.1250,0.0000,0.0
Machine Learning/AI,task_b034726b2aab463ca3aa43a8364fc2c5,cert-line-deployer,yes,0.0000,0.0000,0.0
Systems/Infra/Ops,task_1e12c0c726534800aa8446eb96b3f4ae,chassis-offload-exhibit-salvage,yes,0.1250,0.0000,0.0
File & Media Ops,task_1022eb63cdb7417a9720094641386f79,cold-chain-certification-pipeline,no,,,0.0
Systems/Infra/Ops,task_9be48f6a55a84408abaffc1a90b1c43b,cold-chain-envelope-parser,no,,,0.0
Machine Learning/AI,task_04f040a74a6047928fbcb60b7c781125,cold-chain-ledger-mixture-extend-eval,yes,0.0000,0.0000,0.0
Machine Learning/AI,task_9b64c144df244e06b0dffda8010992a8,cold-chain-provenance-bridge,yes,0.1250,0.0000,0.0
